"site","process","variable","variable_long","period","unit","observation_count","Municipio","Población","Estación.tráfico"
"es0890a",32962,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",57,"Sevilla",688592,"Torneo"
"es0890a",32967,"no2","Nitrogen dioxide (air)","day","ug.m-3",2861,"Sevilla",688592,"Torneo"
"es0890a",32968,"no2","Nitrogen dioxide (air)","hour","ug.m-3",67473,"Sevilla",688592,"Torneo"
"es0890a",32965,"o3","Ozone (air)","hour","ug.m-3",93604,"Sevilla",688592,"Torneo"
"es0890a",32966,"o3","Ozone (air)","hour8","ug.m-3",94540,"Sevilla",688592,"Torneo"
"es0890a",32987,"pm2.5","Particulate matter < 2.5 µm (aerosol)","day","ug.m-3",148,"Sevilla",688592,"Torneo"
"es0890a",115845,"o3","Ozone (air)","hour","ug.m-3",58868,"Sevilla",688592,"Torneo"
"es0890a",115846,"no2","Nitrogen dioxide (air)","hour","ug.m-3",49800,"Sevilla",688592,"Torneo"
"es0890a",115850,"no","Nitrogen monoxide (air)","hour","ug.m-3",49800,"Sevilla",688592,"Torneo"
"es0890a",115856,"pm2.5","Particulate matter < 2.5 µm (aerosol)","day","ug.m-3",1054,"Sevilla",688592,"Torneo"
"es0890a",115844,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",348,"Sevilla",688592,"Torneo"
"es0890a",32982,"no","Nitrogen monoxide (air)","day","ug.m-3",2862,"Sevilla",688592,"Torneo"
"es0890a",32983,"no","Nitrogen monoxide (air)","hour","ug.m-3",67469,"Sevilla",688592,"Torneo"
"es1018a",33341,"no2","Nitrogen dioxide (air)","day","ug.m-3",3633,"Tarrasa",220556,"Terrassa (Pare Alegre)"
"es1018a",33340,"o3","Ozone (air)","hour8","ug.m-3",89889,"Tarrasa",220556,"Terrassa (Pare Alegre)"
"es1018a",33336,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",1985,"Tarrasa",220556,"Terrassa (Pare Alegre)"
"es1018a",33342,"no2","Nitrogen dioxide (air)","hour","ug.m-3",84971,"Tarrasa",220556,"Terrassa (Pare Alegre)"
"es1018a",33351,"no","Nitrogen monoxide (air)","day","ug.m-3",3275,"Tarrasa",220556,"Terrassa (Pare Alegre)"
