"usaf","wban","station","ctry","st","call","latitude","longitude","elev(m)","begin","end","code","longr","latr","dist","siteAQ"
"084530","99999","SAN FERNANDO","SP",NA,NA,36.467,-6.2,30,1931-01-03,2021-01-20,"084530-99999",-0.108210413623648,0.636469218324772,7.51029680964662,"es1479a"
"084490","13025","ROTA NAVAL AIR STATION","SP",NA,"LERT",36.65,-6.35,25.6,1973-01-01,2021-01-21,"084490-13025",-0.11082840750164,0.639663170855922,17.5836961334669,"es1479a"
"081800","99999","BARCELONA CITY","SP",NA,NA,41.417,2.133,176,1973-01-01,2021-01-20,"081800-99999",0.037227872945039,0.722863016298491,2.64791099141519,"es1480a"
"081810","99999","BARCELONA","SP",NA,"LEBL",41.297,2.078,3.7,1973-01-01,2021-01-21,"081810-99999",0.0362679418564422,0.720768621196098,12.9456888999302,"es1480a"
"081763","99999","SABADELL","SP",NA,"LELL",41.517,2.1,250,2000-08-30,2021-01-21,"081763-99999",0.0366519142918809,0.724608345550486,13.8817343696629,"es1480a"
"080800","99999","VITORIA","SP",NA,"LEVT",42.883,-2.724,512.7,1973-01-01,2021-01-21,"080800-99999",-0.0475427688243255,0.748449543132728,5.47275919638933,"es1492a"
"080910","99999","JACA","SP",NA,NA,42.567,-3.133,828,1983-06-13,2021-01-20,"080910-99999",-0.0546811654649823,0.742934302696426,49.7782527401964,"es1492a"
"080840","99999","LOGRONO/AGONCILLO","SP",NA,"LELO",42.45,-2.333,363,1973-01-01,2021-01-21,"080840-99999",-0.0407185314490277,0.740892267471593,52.8053142814268,"es1492a"
"080270","99999","SAN SEBASTIAN/IGUELDO","SP",NA,NA,43.3,-2.033,259,1973-01-01,2021-01-21,"080270-99999",-0.0354825436930447,0.755727566113545,6.3406938157437,"es1494a"
"080290","99999","SAN SEBASTIAN","SP",NA,"LESO",43.357,-1.791,4.6,1973-01-01,2021-01-21,"080290-99999",-0.0312588469032184,0.756722403787181,14.2651319809289,"es1494a"
"076000","99999","SOCOA","FR",NA,NA,43.4,-1.683,25,1984-06-16,2021-01-21,"076000-99999",-0.0293738913110646,0.757472895365539,24.067317735007,"es1494a"
"080800","99999","VITORIA","SP",NA,"LEVT",42.883,-2.724,512.7,1973-01-01,2021-01-21,"080800-99999",-0.0475427688243255,0.748449543132728,4.7206883818778,"es1502a"
"080910","99999","JACA","SP",NA,NA,42.567,-3.133,828,1983-06-13,2021-01-20,"080910-99999",-0.0546811654649823,0.742934302696426,48.8853114791864,"es1502a"
"080250","99999","BILBAO","SP",NA,"LEBB",43.301,-2.911,42.1,1973-01-01,2021-01-21,"080250-99999",-0.0508065345255549,0.755745019406065,53.0238789960061,"es1502a"
"082200","99999","MADRID/C. UNIVERSITARIA","SP",NA,NA,40.45,-3.717,669,1979-12-01,2021-01-20,"082200-99999",-0.0648738882966292,0.705985682431706,3.18608298548,"es1521a"
"082220","99999","MADRID RETIRO","SP",NA,NA,40.417,-3.683,667,1999-04-12,2021-01-20,"082220-99999",-0.0642804763509512,0.705409723778548,7.23066839321225,"es1521a"
"082210","99999","BARAJAS","SP",NA,"LEMD",40.494,-3.567,609.6,1931-01-02,2021-01-21,"082210-99999",-0.0622558944186377,0.706753627302584,12.3347063140363,"es1521a"
"082200","99999","MADRID/C. UNIVERSITARIA","SP",NA,NA,40.45,-3.717,669,1979-12-01,2021-01-20,"082200-99999",-0.0648738882966292,0.705985682431706,1.04016862596507,"es1525a"
"082220","99999","MADRID RETIRO","SP",NA,NA,40.417,-3.683,667,1999-04-12,2021-01-20,"082220-99999",-0.0642804763509512,0.705409723778548,3.71562349202969,"es1525a"
"082230","99999","CUATRO VIENTOS","SP",NA,"LEVS",40.371,-3.785,691,1973-07-19,2021-01-21,"082230-99999",-0.0660607121879854,0.704606872322631,10.6074262383073,"es1525a"
"080144","99999","ARMILLA","SP",NA,"LEGA",37.133,-3.636,700.1,2004-05-25,2021-01-21,"080144-99999",-0.0634601716025138,0.648093111143054,7.31486853336298,"es1560a"
"084190","99999","GRANADA","SP",NA,"LEGR",37.189,-3.777,566.9,1973-01-01,2021-01-21,"084190-99999",-0.0659210858478258,0.649070495524171,14.5784351539425,"es1560a"
"084170","99999","JAEN","SP",NA,NA,37.783,-3.817,580,1973-02-01,2021-01-21,"084170-99999",-0.0666192175486236,0.659437751281018,67.7047647329024,"es1560a"
"082270","99999","TORREJON","SP",NA,"LETO",40.497,-3.446,617.5,1957-10-01,2021-01-21,"082270-99999",-0.0601440460237246,0.706805987180144,6.08118610888605,"es1563a"
"082210","99999","BARAJAS","SP",NA,"LEMD",40.494,-3.567,609.6,1931-01-02,2021-01-21,"082210-99999",-0.0622558944186377,0.706753627302584,16.071079929175,"es1563a"
"082220","99999","MADRID RETIRO","SP",NA,NA,40.417,-3.683,667,1999-04-12,2021-01-20,"082220-99999",-0.0642804763509512,0.705409723778548,26.7271751727634,"es1563a"
"082210","99999","BARAJAS","SP",NA,"LEMD",40.494,-3.567,609.6,1931-01-02,2021-01-21,"082210-99999",-0.0622558944186377,0.706753627302584,8.38569957966097,"es1564a"
"082200","99999","MADRID/C. UNIVERSITARIA","SP",NA,NA,40.45,-3.717,669,1979-12-01,2021-01-20,"082200-99999",-0.0648738882966292,0.705985682431706,11.7362959279078,"es1564a"
"082220","99999","MADRID RETIRO","SP",NA,NA,40.417,-3.683,667,1999-04-12,2021-01-20,"082220-99999",-0.0642804763509512,0.705409723778548,14.0826768546603,"es1564a"
"082230","99999","CUATRO VIENTOS","SP",NA,"LEVS",40.371,-3.785,691,1973-07-19,2021-01-21,"082230-99999",-0.0660607121879854,0.704606872322631,4.33502688771549,"es1567a"
"082240","99999","GETAFE","SP",NA,"LEGT",40.294,-3.724,618.4,1973-01-01,2021-01-21,"082240-99999",-0.0649960613442688,0.703262968798595,5.70172192220295,"es1567a"
"082220","99999","MADRID RETIRO","SP",NA,NA,40.417,-3.683,667,1999-04-12,2021-01-20,"082220-99999",-0.0642804763509512,0.705409723778548,10.5148291386553,"es1567a"
"600300","99999","GRAN CANARIA","SP",NA,"GCLP",27.932,-15.387,23.8,1950-03-16,2021-01-21,"600300-99999",-0.268553812004368,0.487505366667056,22.8780023894573,"es1573a"
