"siteAQ","Municipio","countAQ","siteMto","dist","countMto","ws","wd","air_temp","atmos_pres","visibility","dew_point","RH","ceil_hgt","pwc","precip","cl_1","cl_2","cl_3","cl","cl_1_height","cl_2_height","cl_3_height","precip_12","precip_6"
"es1137a","Vigo",440283,"085510-99999",65.3360483965459,31109,0.602719470249767,0.932077533832653,0.994503198431322,0.996753351120255,0.0975601915844289,0.918383747468578,0.918287312353338,0.0746729242341445,0,0.196084734321258,0.083641389951461,0.035359542254653,0.0064611527210775,0.083641389951461,0.0823555884149282,0.035359542254653,0.0064611527210775,0.0152367482079141,0
"es1160a","Burgos",206457,"080720-99999",85.5860249647093,21097,0.965871924918235,0.965871924918235,0.965492724083993,0,0,0.965492724083993,0.965492724083993,0,0.0279186614210551,0.0457885007347016,0,0,0,0,0,0,0,0,0
"es1160a","Burgos",206457,"080750-99999",4.55364787174155,79059,0.999405507279374,0.922817136568892,0.998102682806512,0,0.320431576417612,0.996104175362704,0.995927092424645,0.40582349890588,0.0832542784502713,0.128929027688182,0.453484106806309,0.1424632236684,0.0290795481855323,0.453484106806309,0.456848682629429,0.1424632236684,0.0290795481855323,0,3.79463438697681e-05
"es1160a","Burgos",206457,"080910-99999",50.5848047249809,20879,0.978111978543034,0.978111978543034,0.978111978543034,0,0,0.972460366875808,0.972460366875808,0,0.0927247473538005,0.105847981225154,0,0,0,0,0,0,0,0,0
"es1161a","León",285796,"080530-99999",83.0163877655847,25256,1,0.975292999683244,0.99996040544821,0.999762432689262,0.99152676591701,0.999722838137472,0.999722838137472,0.0249049730757048,0.211355717453278,0.991051631295534,0.0624010136205258,0,0,0.0624010136205258,0.0604212860310421,0,0,0,0
"es1161a","León",285796,"080550-99999",5.86818171010514,72813,0.999684122340791,0.891090876629173,0.998200870723635,0,0.389930369576861,0.997418043481247,0.997047230576957,0.333745347671432,0.0597283452130801,0.0397044483814703,0.364646423028855,0.0924010822243281,0.0195432134371609,0.364646423028855,0.369013775012704,0.0924010822243281,0.0195432134371609,0,0
"es1161a","León",285796,"080150-99999",86.0291633946206,25861,0.999883995205135,0.998143923282162,0.999961331735045,0.999806658675225,0.984764703607749,0.991995669154325,0.991995669154325,0.144619310931519,0.180155446425119,0.00139205753837825,0.210278024825026,0.00027067785468466,3.86682649549515e-05,0.210278024825026,0.209968678705386,0.00027067785468466,3.86682649549515e-05,0.000386682649549515,0.000232009589729709
"es1181a","Valencia",405672,"082840-99999",3.11084056853165,78934,0.999949324752325,0.899663009602959,0.998783794055793,0.329123064838979,0.424278511161223,0.997567588111587,0.997567588111587,0.171472369321205,0.0122254035016596,0.109597891909697,0.462639673651405,0.08608457698837,0.0159880406415486,0.462639673651405,0.444067195378417,0.08608457698837,0.0159880406415486,0,0
"es1181a","Valencia",405672,"080143-99999",11.3320319522434,46754,0.998545578987894,0.744235787312316,0.998502801899303,0,0.392886170167258,0.998460024810711,0.998460024810711,0.558647388458742,0.0229071309406682,0,0.214099328399709,0.0645720152286435,0.0141164392351457,0.214099328399709,0.214099328399709,0.0645720152286435,0.0141164392351457,0,0
"es1181a","Valencia",405672,"082850-99999",5.51573659843163,20224,0.981408227848101,0.981408227848101,0.98046875,0,0,0.724090189873418,0.724090189873418,0,0.0378757911392405,0.0443532436708861,0,0,0,0,0,0,0,0,0
"es1225a","Lleida",276520,"081710-99999",2.3170334026479,25944,1,0.994526672833796,0.999922910884983,0.996762257169288,0.987203206907185,0.999922910884983,0.999922910884983,0.045790934320074,0.130473327166204,0.33645544249152,0.0742368177613321,0.000154178230033919,0,0.0742368177613321,0.0697656490903484,0.000154178230033919,0,0.00154178230033919,0.000346901017576318
"es1225a","Lleida",276520,"081120-99999",68.207436674616,21317,0.928507763756626,0.928554674672796,0.930384200403434,0,0.921236571750246,0.919547778768119,0.919547778768119,0,0.920814373504715,0.0617816765961439,0,0,0,0,0,0,0,0,4.69109161701928e-05
"es1225a","Lleida",276520,"084515-99999",14.1250284294602,44070,0.999546176537327,0.884706149307919,0.994349897889721,0,0.604016337644656,0.993805309734513,0.99360108917631,0.371681415929204,0.0774222827320172,0,0.330201951440889,0.0644202405264352,0.0115271159518947,0.330201951440889,0.329929657363286,0.0641252552756977,0.0114136600862265,0,0
"es1239a","Valencia",414587,"082840-99999",9.8192087100704,78934,0.999949324752325,0.899663009602959,0.998783794055793,0.329123064838979,0.424278511161223,0.997567588111587,0.997567588111587,0.171472369321205,0.0122254035016596,0.109597891909697,0.462639673651405,0.08608457698837,0.0159880406415486,0.462639673651405,0.444067195378417,0.08608457698837,0.0159880406415486,0,0
