"site","process","variable","variable_long","period","unit","observation_count","Municipio","Población","Estación tráfico","site_name","latitude","longitude","elevation","country","site_type","site_area","date_start","date_end"
"es1018a",33352,"no","Nitrogen monoxide (air)","hour","ug.m-3",76723,"Tarrasa",220556,"Terrassa (Pare Alegre)","Terrassa (Pare Alegre)",41.556115398,2.007401267,261,"spain","traffic","urban",1999-01-01,2021-01-16 01:00:00
"es1047a",33566,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",5703,"Zaragoza",674998,"ROGER DE FLOR","ROGER DE FLOR",41.65139,-0.91611,212,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1047a",33567,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",134234,"Zaragoza",674998,"ROGER DE FLOR","ROGER DE FLOR",41.65139,-0.91611,212,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1047a",33568,"o3","Ozone (air)","day","ug.m-3",5404,"Zaragoza",674998,"ROGER DE FLOR","ROGER DE FLOR",41.65139,-0.91611,212,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1047a",33569,"o3","Ozone (air)","dymax","ug.m-3",5389,"Zaragoza",674998,"ROGER DE FLOR","ROGER DE FLOR",41.65139,-0.91611,212,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1047a",33570,"o3","Ozone (air)","hour","ug.m-3",127533,"Zaragoza",674998,"ROGER DE FLOR","ROGER DE FLOR",41.65139,-0.91611,212,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1047a",33571,"o3","Ozone (air)","hour8","ug.m-3",128550,"Zaragoza",674998,"ROGER DE FLOR","ROGER DE FLOR",41.65139,-0.91611,212,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1047a",33572,"no2","Nitrogen dioxide (air)","day","ug.m-3",5332,"Zaragoza",674998,"ROGER DE FLOR","ROGER DE FLOR",41.65139,-0.91611,212,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1047a",33573,"no2","Nitrogen dioxide (air)","hour","ug.m-3",126616,"Zaragoza",674998,"ROGER DE FLOR","ROGER DE FLOR",41.65139,-0.91611,212,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1096a",33889,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",1815,"Ourense",105233,"GOMEZ FRANQUEIRA","GOMEZ FRANQUEIRA",42.353,-7.8779,132,"spain","traffic","urban",2005-08-01,2021-01-16 01:00:00
"es1096a",33890,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",42811,"Ourense",105233,"GOMEZ FRANQUEIRA","GOMEZ FRANQUEIRA",42.353,-7.8779,132,"spain","traffic","urban",2005-08-01,2021-01-16 01:00:00
"es1096a",33891,"o3","Ozone (air)","day","ug.m-3",2497,"Ourense",105233,"GOMEZ FRANQUEIRA","GOMEZ FRANQUEIRA",42.353,-7.8779,132,"spain","traffic","urban",2005-08-01,2021-01-16 01:00:00
"es1096a",33892,"o3","Ozone (air)","dymax","ug.m-3",2488,"Ourense",105233,"GOMEZ FRANQUEIRA","GOMEZ FRANQUEIRA",42.353,-7.8779,132,"spain","traffic","urban",2005-08-01,2021-01-16 01:00:00
"es1096a",33893,"o3","Ozone (air)","hour","ug.m-3",57913,"Ourense",105233,"GOMEZ FRANQUEIRA","GOMEZ FRANQUEIRA",42.353,-7.8779,132,"spain","traffic","urban",2005-08-01,2021-01-16 01:00:00
"es1096a",33894,"o3","Ozone (air)","hour8","ug.m-3",58945,"Ourense",105233,"GOMEZ FRANQUEIRA","GOMEZ FRANQUEIRA",42.353,-7.8779,132,"spain","traffic","urban",2005-08-01,2021-01-16 01:00:00
