"period","site","variable","mean(2013-2019).vs.mean(2020)","std(2013-2019).vs.std(2020)"
"fases","Elche","no",-17.1568900055762,4.69185747910764
"normalidad","Elche","no",-10.5604284591306,23.3551080522859
"new.lockdown","Elche","no",-46.9720991937804,14.1004745150432
"pre.lckdwn","Elche","no2",0.24424398267316,21.8750100923742
"lckdwn","Elche","no2",-61.062812589623,10.3972804699844
"fases","Elche","no2",-33.8071623926129,14.3384077104609
"normalidad","Elche","no2",-25.0462324387425,16.2040456340469
"new.lockdown","Elche","no2",-34.9203857784323,16.5667916675553
"pre.lckdwn","Elche","o3",-21.8663231278849,6.63089422026349
"lckdwn","Elche","o3",-0.277944370452762,7.45914012757783
"fases","Elche","o3",-8.26512588565094,9.75279386232383
"normalidad","Elche","o3",-0.283135104125006,3.72108921552942
"new.lockdown","Elche","o3",9.64079185395332,10.1896641341033
"pre.lckdwn","Getafe","no",2.16251842829488,55.8165110218649
"lckdwn","Getafe","no",-75.4637828756422,5.33388266933884
"fases","Getafe","no",-53.3613496269883,16.715094550665
"normalidad","Getafe","no",-34.761994475139,23.4731558322319
"new.lockdown","Getafe","no",-56.0222224880481,26.9338011197355
"pre.lckdwn","Getafe","no2",-8.92318306982005,25.9208130377327
"lckdwn","Getafe","no2",-50.7917775533377,12.8057832214299
"fases","Getafe","no2",-45.6633901796845,16.997329444029
"normalidad","Getafe","no2",-23.1640796924503,19.3108612096347
"new.lockdown","Getafe","no2",-31.1189345810312,14.4860136122134
"pre.lckdwn","Getafe","o3",-21.974956666293,28.1177279755879
"lckdwn","Getafe","o3",-5.84298765764008,9.12880457268786
"fases","Getafe","o3",-9.56666418700982,5.68243728887513
"normalidad","Getafe","o3",2.42251698787666,-1.63479791617634
"new.lockdown","Getafe","o3",12.8800190112652,36.5341410586853
"pre.lckdwn","Getafe","pm10",40.5151609476797,36.3561624600625
"lckdwn","Getafe","pm10",-34.2556507679285,20.6777908259276
"fases","Getafe","pm10",-30.6805378122185,19.0404182443642
"normalidad","Getafe","pm10",-9.77166311201748,29.7725736640711
"new.lockdown","Getafe","pm10",-18.9003807983921,33.0703254323516
"pre.lckdwn","Gijón","no",7.22119471546402,49.5952907723476
"lckdwn","Gijón","no",-65.1468507612393,12.9648923703907
"fases","Gijón","no",-44.1933075387196,22.0872977364281
"normalidad","Gijón","no",-25.1467267460613,17.4722260422575
"new.lockdown","Gijón","no",-36.2652095410633,38.0194514808065
"pre.lckdwn","Gijón","no2",-12.141837600083,14.2433736359875
"lckdwn","Gijón","no2",-54.2090619026489,12.1278898026984
"fases","Gijón","no2",-39.8134147806355,11.5094391944654
"normalidad","Gijón","no2",-23.0671977278478,14.5497934458926
"new.lockdown","Gijón","no2",-24.0849263699908,13.8042191387671
"pre.lckdwn","Gijón","o3",-0.785314311460876,26.9338563307972
"lckdwn","Gijón","o3",14.8256610369331,14.4952672334362
"fases","Gijón","o3",3.78818700715476,6.69634790605832
"normalidad","Gijón","o3",9.62062185001932,12.6617922289998
"new.lockdown","Gijón","o3",21.3303757301009,40.5587153319256
"pre.lckdwn","Gijón","pm10",32.768456969337,40.6579097352508
"lckdwn","Gijón","pm10",-10.7433233412447,21.6988084828041
"fases","Gijón","pm10",-5.91572406457464,14.2607940534577
"normalidad","Gijón","pm10",-11.0529347635888,15.2158911160684
"new.lockdown","Gijón","pm10",1.17551160496747,26.7228903983137
"pre.lckdwn","Gijón","pm2.5",31.668019401171,13.5133324105053
"lckdwn","Gijón","pm2.5",14.5450191992537,11.5177075611222
"fases","Gijón","pm2.5",1.8600179018482,16.9249670097992
"normalidad","Gijón","pm2.5",-12.8413954504508,6.79867222684026
"new.lockdown","Gijón","pm2.5",-19.453762425455,18.9784703136214
"pre.lckdwn","Girona","no",-26.510972475798,15.4105117406602
"lckdwn","Girona","no",-73.3216365945409,14.0191672109161
"fases","Girona","no",-54.6033916357629,15.2728821339919
"normalidad","Girona","no",-36.0795019032208,9.00445915238217
"new.lockdown","Girona","no",-54.1422486663411,14.6801041833585
"pre.lckdwn","Girona","no2",-26.7414237198375,10.5384104572684
"lckdwn","Girona","no2",-63.6208457880626,8.05249950697981
"fases","Girona","no2",-53.3144053125195,10.8976619905503
"normalidad","Girona","no2",-29.7182694014166,11.9418967937207
"new.lockdown","Girona","no2",-36.0875963127467,10.7758393088024
"pre.lckdwn","Granada","no",15.4772866767005,16.0799219297726
"lckdwn","Granada","no",-58.1836113020066,20.5022540654872
"fases","Granada","no",-40.5779707459693,11.4144885724413
"normalidad","Granada","no",-19.1695031011662,11.0294572924257
"new.lockdown","Granada","no",-44.3276633228172,15.3977731658148
"pre.lckdwn","Granada","no2",8.49699295322581,22.3532042548324
"lckdwn","Granada","no2",-59.0157736402688,7.56087233382033
"fases","Granada","no2",-38.963697426173,16.0566060053403
"normalidad","Granada","no2",-15.5343136633345,11.0938544115135
"new.lockdown","Granada","no2",-28.3901506090174,9.8787276117873
"pre.lckdwn","Huelva","no",3.48042705945724,54.2067140247407
"lckdwn","Huelva","no",-82.0484357502784,7.88545153756182
"fases","Huelva","no",-69.6867976627657,10.4905999692697
"normalidad","Huelva","no",-36.7133484429409,16.3385849408242
"new.lockdown","Huelva","no",NA,NA
"pre.lckdwn","Huelva","no2",-17.0689177620484,23.6066324439797
"lckdwn","Huelva","no2",-62.1021743457328,8.44761851268714
"fases","Huelva","no2",-55.1037166354384,17.3349168061745
