"date","variable","site","2013-2019.vs.2020"
2020-01-16,"no2","es0110a",-35.9203980099502
2020-01-16,"no2","es0115a",45.0410902130583
2020-01-16,"no2","es0118a",4.68660697275673
2020-01-16,"o3","es0118a",-49.7216265289923
2020-01-16,"pm10","es0041a",-23.0182577646028
2020-01-16,"pm10","es0110a",-48.343058460861
2020-01-16,"pm10","es0118a",138.967310549777
2020-01-16,"pm2.5","es0110a",-40.1316445596888
2020-01-16,"pm2.5","es0118a",82.7092511013216
2020-01-17,"no","es0110a",-32.3446955965624
2020-01-17,"no","es0115a",-55.8594096268061
2020-01-17,"no","es0118a",-40.8435072142064
2020-01-17,"no2","es0041a",-5.07717937371477
2020-01-17,"no2","es0110a",-18.6647640880488
2020-01-17,"no2","es0115a",-14.0084168961397
2020-01-17,"no2","es0118a",-11.0282157019634
2020-01-17,"o3","es0118a",18.7112845902623
2020-01-17,"pm10","es0041a",1.83946488294315
2020-01-17,"pm10","es0110a",4.69848977114498
2020-01-17,"pm10","es0118a",7.08287696239504
2020-01-17,"pm2.5","es0110a",-15.1945407517473
2020-01-17,"pm2.5","es0118a",-28.7560581583199
2020-01-18,"no","es0110a",-76.8913342503439
2020-01-18,"no","es0115a",-54.0729654360785
2020-01-18,"no","es0118a",-59.7007914548613
2020-01-18,"no2","es0041a",-35.8716344846342
2020-01-18,"no2","es0110a",-35.8620689655172
2020-01-18,"no2","es0115a",4.9689954526664
2020-01-18,"no2","es0118a",-13.9439956484016
2020-01-18,"o3","es0118a",-40.6968998954045
2020-01-18,"pm10","es0041a",-36.0830860534125
2020-01-18,"pm10","es0110a",-49.2140266021765
2020-01-18,"pm10","es0118a",-18.8953488372093
2020-01-18,"pm2.5","es0110a",-33.7782340862423
2020-01-18,"pm2.5","es0118a",-3.37289194253591
2020-01-19,"no","es0110a",-90.2231426249975
2020-01-19,"no","es0115a",-86.6480070491888
2020-01-19,"no","es0118a",-89.0750448876158
2020-01-19,"no2","es0041a",-78.3850586866871
2020-01-19,"no2","es0110a",-82.2911211376546
2020-01-19,"no2","es0115a",-46.3921139101862
2020-01-19,"no2","es0118a",-52.1593265828962
2020-01-19,"o3","es0118a",84.6518404915764
2020-01-19,"pm10","es0041a",5.17035265989242
2020-01-19,"pm10","es0110a",-64.2551212707115
2020-01-19,"pm10","es0118a",-58.9212292590967
2020-01-19,"pm2.5","es0110a",-57.907038278356
2020-01-19,"pm2.5","es0118a",-68.6044060293032
2020-01-20,"no","es0110a",-72.5884318394086
2020-01-20,"no","es0115a",-46.8191038170754
2020-01-20,"no","es0118a",-75.6591186273022
2020-01-20,"no2","es0041a",-44.5735126074179
2020-01-20,"no2","es0110a",-31.203398647477
