"site","Pollutant","start_yr","end_yr","hv.min","mss.wk","mss.mnth","mss.yr"
"es1480a","no2",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1480a","no",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1479a","pm2.5",2013-01-03,2018-12-27,FALSE,125,24,2
"es1479a","pm10",2013-01-03,2018-12-27,FALSE,123,25,2
"es1479a","o3",2013-01-01,2020-12-30,TRUE,7,0,0
"es1479a","no2",2013-01-01,2020-12-30,TRUE,5,0,0
"es1479a","no",2013-01-01,2020-12-30,TRUE,5,0,0
"es1438a","pm2.5",2013-01-01,2018-12-30,FALSE,103,24,2
"es1438a","pm10",2013-01-01,2018-12-30,FALSE,103,24,2
"es1438a","o3",2013-01-01,2020-12-30,TRUE,259,60,5
"es1438a","no2",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1438a","no",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1426a","pm10",2013-01-01,2020-12-29,TRUE,0,0,0
"es1426a","no2",2013-01-01,2020-12-30,TRUE,1,0,0
"es1426a","no",2013-01-01,2020-12-30,TRUE,1,0,0
"es1393a","pm2.5",2013-01-01,2018-12-23,FALSE,197,24,2
"es1393a","pm10",2013-01-03,2018-12-14,FALSE,113,24,2
"es1393a","o3",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1393a","no2",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1393a","no",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1358a","pm10",2013-01-01,2020-12-28,TRUE,9,1,0
"es1358a","o3",2013-01-01,2020-12-30,TRUE,9,1,0
"es1358a","no2",2013-01-01,2020-12-30,TRUE,10,1,0
"es1358a","no",2013-01-01,2020-12-30,TRUE,10,1,0
"es1340a","pm10",2013-12-31,2020-12-30,TRUE,51,11,0
"es1340a","no2",2013-01-01,2020-10-15,TRUE,65,14,1
"es1340a","no",2013-01-01,2020-10-15,TRUE,65,14,1
"es1272a","pm2.5",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1272a","pm10",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1272a","o3",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1272a","no2",2013-01-01,2020-12-30,TRUE,-1,0,0
