"code","date","ws","wd","atmos_pres"
"081810-99999",2014-12-07,4.11527777777778,327.205701857677,1020.9125
"081810-99999",2014-12-08,3.96527777777778,330.07423021084,1022.15
"081810-99999",2014-12-09,6.66805555555556,338.985393760505,1021.3875
"081810-99999",2014-12-10,5.75763888888889,329.732784825533,1027.13333333333
"081810-99999",2014-12-11,4.56666666666667,327.037635280252,1025.15416666667
"081810-99999",2014-12-12,4.32638888888889,294.402119598235,1020.10833333333
"081810-99999",2014-12-13,3.93472222222222,319.952506467461,1014.90416666667
"081810-99999",2014-12-14,4.98472222222222,12.657756313478,1015.56666666667
"081810-99999",2014-12-15,3.94965277777778,359.029651059847,1016.20416666667
"081810-99999",2014-12-16,5.45972222222222,326.09908876734,1014.22083333333
"081810-99999",2014-12-17,3.49444444444444,323.251211607165,1019.325
"081810-99999",2014-12-18,4.23611111111111,325.083209821711,1023.35217391304
"081810-99999",2014-12-19,6.17361111111111,331.728606430719,1027.39166666667
"081810-99999",2014-12-20,6.65972222222222,331.35276567118,1030.2375
"081810-99999",2014-12-21,6.12222222222222,333.309375055391,1031.44583333333
"081810-99999",2014-12-22,4.38194444444444,327.399123297027,1032.04166666667
"081810-99999",2014-12-23,4.44583333333333,279.768509126089,1029.375
"081810-99999",2014-12-24,5.37916666666667,331.570713582137,1028.8625
"081810-99999",2014-12-25,6.52361111111111,330.101872273071,1029.1625
"081810-99999",2014-12-26,6.13611111111111,332.775635730079,1028.9875
"081810-99999",2014-12-27,4.57638888888889,319.457719103551,1016.78333333333
"081810-99999",2014-12-28,4.48333333333333,326.019336060938,1011.12083333333
"081810-99999",2014-12-29,3.19583333333333,334.694595513036,1026.89583333333
"081810-99999",2014-12-30,4.78611111111111,325.230894558117,1031.77083333333
"081810-99999",2014-12-31,4.49305555555556,333.360166667277,1028.225
"081810-99999",2015-01-01,4.28055555555556,309.468231873757,1034.70833333333
"081810-99999",2015-01-02,4.61388888888889,320.056142924917,1035.86666666667
"081810-99999",2015-01-03,4.86111111111111,321.001622824877,1033.33333333333
"081810-99999",2015-01-04,5.42222222222222,334.041491399613,1031.2875
"081810-99999",2015-01-05,4.21111111111111,314.028376191369,1029.60833333333
"081810-99999",2015-01-06,5.33194444444444,329.046988168784,1026.02083333333
"081810-99999",2015-01-07,4.61666666666667,329.677728382749,1030.79166666667
"081810-99999",2015-01-08,6.53472222222222,330.688781641257,1036.55
"081810-99999",2015-01-09,6.04722222222222,325.926781749851,1039.75416666667
"081810-99999",2015-01-10,4.43194444444444,311.447729251205,1031.39583333333
"081810-99999",2015-01-11,5.00277777777778,331.367006833819,1028.64166666667
"081810-99999",2015-01-12,5.77361111111111,292.465601907421,1032.55833333333
"081810-99999",2015-01-13,4.38888888888889,245.919634614794,1025.59166666667
"081810-99999",2015-01-14,2.65555555555556,324.014384327069,1024.75833333333
"081810-99999",2015-01-15,3.51666666666667,251.974589405606,1017.6875
"081810-99999",2015-01-16,3.57777777777778,288.871893949781,1010.3625
"081810-99999",2015-01-17,4.2,327.217839659898,1019.69166666667
"081810-99999",2015-01-18,4.88888888888889,285.766957663721,1015.65
"081810-99999",2015-01-19,4.33472222222222,340.437293232697,1009.38333333333
"081810-99999",2015-01-20,5.19027777777778,333.376892925412,1008.9125
"081810-99999",2015-01-21,4.00138888888889,323.955820128837,1007.11666666667
"081810-99999",2015-01-22,4.73333333333333,326.482624107687,1010.1875
"081810-99999",2015-01-23,5.66180555555556,325.175291973001,1015.725
"081810-99999",2015-01-24,7.07152777777778,325.56302857346,1018.54166666667
"081810-99999",2015-01-25,4.52152777777778,296.126542264082,1020.10869565217
"081810-99999",2015-01-26,4.4375,328.724696004093,1025.7625
"081810-99999",2015-01-27,4.09791666666667,336.942278669753,1022.19583333333
"081810-99999",2015-01-28,3.38611111111111,322.458839752644,1021.125
"081810-99999",2015-01-29,5.80069444444444,266.724565351738,1006.03333333333
"081810-99999",2015-01-30,8.44027777777778,284.023215540704,991.420833333333
"081810-99999",2015-01-31,4.76666666666667,302.852455892115,990.1375
"081810-99999",2015-02-01,7.44166666666667,307.400309974206,1003.6125
"081810-99999",2015-02-02,4.11388888888889,321.114949130819,1007.6125
"081810-99999",2015-02-03,4.19548611111111,355.084567991,998.208333333333
"081810-99999",2015-02-04,5.91086956521739,4.24237172421177,998.113636363636
"081810-99999",2015-02-05,4.01527777777778,314.299103026894,1001.8125
"081810-99999",2015-02-06,4.69027777777778,321.833075142504,1008.0652173913
"081810-99999",2015-02-07,4.35,317.787500895025,1018.35
"081810-99999",2015-02-08,5.84305555555556,328.964622307098,1019.54583333333
"081810-99999",2015-02-09,5.17777777777778,314.988668772808,1025.59583333333
"081810-99999",2015-02-10,4.81805555555556,285.852467446769,1024.67916666667
"081810-99999",2015-02-11,3.32777777777778,323.759164555281,1023.28333333333
"081810-99999",2015-02-12,3.38958333333333,324.934978167258,1021.47083333333
"081810-99999",2015-02-13,4.49861111111111,240.799180975844,1019.91666666667
"081810-99999",2015-02-14,3.65555555555556,278.509820323596,1013.67916666667
"081810-99999",2015-02-15,2.93333333333333,283.414636868004,1009.41666666667
"081810-99999",2015-02-16,3.06111111111111,288.129385472908,1015.97916666667
"081810-99999",2015-02-17,3.70555555555556,3.57980779739592,1024.60416666667
"081810-99999",2015-02-18,4.16736111111111,12.5192482168408,1031.57916666667
"081810-99999",2015-02-19,3.80138888888889,356.78769201308,1031.59166666667
"081810-99999",2015-02-20,4.10972222222222,292.305573190651,1022.37083333333
"081810-99999",2015-02-21,2.39027777777778,299.660710896131,1005.6625
"081810-99999",2015-02-22,4.21388888888889,321.485360592597,1007.57083333333
"081810-99999",2015-02-23,3.76805555555556,308.617635211471,1009.34166666667
"081810-99999",2015-02-24,6.37222222222222,305.371745672115,1014.6625
"081810-99999",2015-02-25,3.99583333333333,309.586321445388,1017.35
"081810-99999",2015-02-26,2.44722222222222,312.810023671167,1017.84583333333
"081810-99999",2015-02-27,4.23055555555556,275.572614642963,1015.20434782609
"081810-99999",2015-02-28,3.98611111111111,294.043719512038,1020.7347826087
"081810-99999",2015-03-01,4.30138888888889,243.803488122625,1020.27391304348
"081810-99999",2015-03-02,3.63333333333333,214.231261267371,1019.975
"081810-99999",2015-03-03,1.54444444444444,105.86445337663,1025.19166666667
"081810-99999",2015-03-04,3.37673611111111,339.028459378568,1025.59565217391
"081810-99999",2015-03-05,5.00555555555556,318.290259749607,1027.09130434783
