"date","Municipio","diff"
2020-01-11,"Alicante",-15.3794394612282
2020-01-11,"Almería",-22.5595577178785
2020-01-11,"Barcelona",-34.0367094514101
2020-01-11,"Bilbao",-30.5826019711193
2020-01-11,"Burgos",-36.1041301660555
2020-01-11,"Castellón de la Plana",-28.7471470479877
2020-01-11,"Elche",-28.869397809274
2020-01-11,"Gijón",11.4566248158772
2020-01-11,"Girona",-44.3237737103513
2020-01-11,"Granada",-23.7516125417284
2020-01-11,"Huelva",-39.4767479245969
2020-01-11,"Leganés",-13.0350221755775
2020-01-11,"León",-21.0992566165156
2020-01-11,"Lleida",-12.0062534616761
2020-01-11,"Madrid",-20.9710309134083
2020-01-11,"Málaga",-30.3233208979274
2020-01-11,"Ourense",3.53627887263714
2020-01-11,"Oviedo",-5.03805676272751
2020-01-11,"Palma",4.50413355224277
2020-01-11,"Pamplona",-20.6126937266322
2020-01-11,"Sabadell",-53.6509254603855
2020-01-11,"Salamanca",-17.0161861291938
2020-01-11,"San Sebastián",-26.3836196737548
2020-01-11,"Santander",-11.4138697829308
2020-01-11,"Sevilla",-16.2050766095281
2020-01-11,"Tarrasa",-46.2185980420525
2020-01-11,"Valencia",-45.062025642517
2020-01-11,"Valladolid",-15.0663756169462
2020-01-11,"Vigo",-22.255480208148
2020-01-11,"Vitoria",-32.4408704309282
2020-01-11,"Zaragoza",-4.91122885747113
2020-01-12,"Alcalá de Henares",-35.7673695474123
2020-01-12,"Alcobendas",-15.8287156778794
2020-01-12,"Alicante",-22.0781741257568
2020-01-12,"Almería",-24.7760110716629
2020-01-12,"Barcelona",-27.7471263606544
2020-01-12,"Bilbao",-32.1818919182159
2020-01-12,"Burgos",-36.5204432764647
2020-01-12,"Castellón de la Plana",-46.1287444560503
2020-01-12,"Elche",-44.5175707218198
2020-01-12,"Gijón",-5.30795378001425
2020-01-12,"Girona",-33.2990625485803
2020-01-12,"Granada",-25.8727940912505
2020-01-12,"Huelva",-68.4779345541879
2020-01-12,"Leganés",-14.0408909076567
2020-01-12,"León",-37.1839979663969
2020-01-12,"Lleida",-25.8387865708752
2020-01-12,"Madrid",-6.63761070354969
2020-01-12,"Málaga",-33.4578938692262
2020-01-12,"Ourense",-27.2802823706747
2020-01-12,"Oviedo",-17.0716909124489
2020-01-12,"Palma",-21.5931598034984
2020-01-12,"Pamplona",-23.6733777854734
2020-01-12,"Sabadell",-35.1338898658047
2020-01-12,"Salamanca",-40.3717432054598
2020-01-12,"San Sebastián",-30.5058890363533
2020-01-12,"Santander",-13.1303623829152
2020-01-12,"Sevilla",-34.2284592866289
2020-01-12,"Tarrasa",-42.1826748584241
2020-01-12,"Valencia",-55.9551907739533
2020-01-12,"Valladolid",-25.2748269042316
2020-01-12,"Vigo",-27.0182856803809
2020-01-12,"Vitoria",-23.9888985040323
2020-01-12,"Zaragoza",-30.4176477301606
2020-01-13,"Alcalá de Henares",-19.4580011326858
2020-01-13,"Alcobendas",-1.12921724989898
2020-01-13,"Alicante",-8.08336586757254
2020-01-13,"Almería",-15.3440374380308
2020-01-13,"Barcelona",-12.1201555452586
2020-01-13,"Bilbao",-42.1136812041474
2020-01-13,"Burgos",-22.8553795257116
2020-01-13,"Castellón de la Plana",-30.5937105952159
2020-01-13,"Elche",-5.38704471529013
2020-01-13,"Gijón",19.4743460123283
2020-01-13,"Girona",-10.8869527127682
2020-01-13,"Granada",-7.25975081960702
