"site","start_dt","end_dt","fecha","indicativo","nombre","provincia","altitud","tmed","prec","tmin","horatmin","tmax","horatmax","dir","velmedia","racha","horaracha","sol","presMax","horaPresMax","presMin","horaPresMin","siteAQ"
"es1567a",2013-01-01,2020-12-31,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,0.99931577146767,1,0.999657885733835,1,0.999657885733835,1,1,0.999657885733835,0.999657885733835,0.999657885733835,0.99931577146767,1
"es1573a",2013-09-21,2020-12-31,1,1,1,1,1,0.818885448916409,0.962461300309598,0.818885448916409,1,0.818885448916409,1,0.968653250773994,0.995356037151703,0.968653250773994,1,NA,0.96671826625387,0.96671826625387,0.96671826625387,0.96671826625387,1
"es1580a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99863154293534,0.999657885733835,0.999657885733835,0.999657885733835,0.99931577146767,1
"es1610a",2013-01-01,2020-12-31,1,1,1,1,1,0.99863154293534,1,0.99863154293534,1,0.99931577146767,1,0.997605200136846,0.998289428669175,0.997605200136846,1,0.978104686965447,0.954156688333904,0.953472459801574,0.954156688333904,0.953814574067739,1
"es1618a",2013-01-01,2020-12-31,1,1,1,1,1,0.971526586620926,0.970154373927959,0.971526586620926,1,0.971869639794168,1,0.99622641509434,0.998970840480274,0.99622641509434,1,NA,0.950943396226415,0.950943396226415,0.950943396226415,0.950943396226415,1
"es1625a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,0.996920971604516,NA,NA,NA,NA,1
"es1631a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.99863154293534,0.998289428669175,0.99863154293534,1,0.998973657201505,0.998973657201505,0.998973657201505,0.998973657201505,0.998973657201505,1
"es1632a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.99863154293534,0.998289428669175,0.99863154293534,1,0.998973657201505,0.998973657201505,0.998973657201505,0.998973657201505,0.998973657201505,1
"es1635a",2013-01-01,2020-12-31,1,1,1,1,1,0.998973657201505,1,0.998973657201505,1,0.998973657201505,1,0.991105029079713,0.991789257612042,0.991105029079713,1,0.997947314403011,0.998973657201505,0.998973657201505,0.998973657201505,0.998973657201505,1
"es1673a",2013-01-01,2020-12-31,1,1,1,1,1,0.995552514539856,1,0.995894628806021,1,0.995894628806021,1,0.994868286007527,0.996920971604516,0.994868286007527,1,0.998973657201505,0.995552514539856,0.995552514539856,0.995894628806021,0.995894628806021,1
"es1697a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99931577146767,1,1,1,1,1
"es1740a",2013-01-01,2020-12-31,1,1,1,1,1,0.997202797202797,1,0.998601398601399,NA,0.998601398601399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"es1834a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.98392062949025,0.990420800547383,0.98392062949025,1,0.991789257612042,0.987341772151899,0.987341772151899,0.986657543619569,0.986657543619569,1
"es1836a",2013-01-01,2020-12-31,1,1,1,1,1,0.996537396121884,0.995498614958449,0.996537396121884,1,0.996537396121884,1,0.991689750692521,0.994113573407202,0.991689750692521,1,0.98718836565097,0.99584487534626,0.99584487534626,0.99584487534626,0.99584487534626,1
"es1837a",2013-01-01,2020-12-31,1,1,1,1,1,0.996537396121884,0.995498614958449,0.996537396121884,1,0.996537396121884,1,0.991689750692521,0.994113573407202,0.991689750692521,1,0.98718836565097,0.99584487534626,0.99584487534626,0.99584487534626,0.99584487534626,1
"es1849a",2013-01-01,2020-12-31,1,1,1,1,1,0.993157714676702,1,0.993157714676702,1,0.993157714676702,1,0.988710229216558,0.994526171741362,0.988710229216558,1,0.79678412589805,0.991105029079713,0.990762914813548,0.991105029079713,0.990762914813548,1
"es1912a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,0.996920971604516,NA,NA,NA,NA,1
"es1938a",2013-01-01,2020-12-31,1,1,1,1,1,0.926162584309549,0.970891018814341,0.926162584309549,1,0.926162584309549,1,0.501242456514022,0.513667021654242,0.501242456514022,1,NA,NA,NA,NA,NA,1
"es1940a",2013-01-01,2020-12-31,1,1,1,1,1,0.926162584309549,0.970891018814341,0.926162584309549,1,0.926162584309549,1,0.501242456514022,0.513667021654242,0.501242456514022,1,NA,NA,NA,NA,NA,1
"es1943a",2013-01-01,2020-12-31,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,0.99931577146767,1,0.941840574751967,0.9483407458091,0.941840574751967,1,NA,0.98460485802258,0.98460485802258,0.98460485802258,0.984262743756415,1
"es1970a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,0.996920971604516,NA,NA,NA,NA,1
"es1999a",2013-01-01,2020-12-31,1,1,1,1,1,0.98425735797399,0.998288843258042,0.984599589322382,1,0.985284052019165,1,0.985284052019165,0.991444216290212,0.985284052019165,1,0.929158110882957,0.988364134154689,0.988364134154689,0.98870636550308,0.98870636550308,1
"es2010a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.99863154293534,0.998289428669175,0.99863154293534,1,0.998973657201505,0.998973657201505,0.998973657201505,0.998973657201505,0.998973657201505,1
"es2028a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999657885733835,1
"es2030a",2013-01-01,2020-12-31,1,1,1,1,1,0.937221269296741,0.998970840480274,0.937221269296741,1,0.937221269296741,1,0.986277873070326,0.989365351629503,0.986277873070326,1,NA,0.97598627787307,0.97598627787307,0.97598627787307,0.97598627787307,1
"es2031a",2013-01-01,2020-12-31,1,1,1,1,1,0.989048596851472,0.997604380561259,0.989048596851472,1,0.989048596851472,1,0.992813141683778,0.991786447638604,0.992813141683778,1,NA,0.986310746064339,0.986310746064339,0.986310746064339,0.986310746064339,1
"es2042a",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,0.99863154293534,0.998289428669175,0.99863154293534,1,0.998973657201505,0.998973657201505,0.998973657201505,0.998973657201505,0.998973657201505,1
"es2047a",2013-01-01,2020-12-31,1,1,1,1,1,0.993157714676702,1,0.993499828942867,1,0.993841943209032,1,0.98186794389326,0.981525829627095,0.98186794389326,1,1,0.990762914813548,0.990762914813548,0.991105029079713,0.991105029079713,1
