"site","start_dt","end_dt","miss_dy","fecha","indicativo","nombre","provincia","altitud","tmed","prec","tmin","horatmin","tmax","horatmax","dir","velmedia","racha","horaracha","sol","presMax","horaPresMax","presMin","horaPresMin"
"2374X",2013-01-01,2020-12-31,17,0.994184057475197,0.994184057475197,0.994184057475197,0.994184057475197,0.994184057475197,0.989052343482723,0.971262401642148,0.989052343482723,0.994184057475197,0.989052343482723,0.994184057475197,0.990762914813548,0.992815600410537,0.990762914813548,0.994184057475197,0.984262743756415,0.993157714676702,0.993157714676702,0.993157714676702,0.993157714676702
"2400E",2013-01-01,2020-12-31,47,0.98392062949025,0.98392062949025,0.98392062949025,0.98392062949025,0.98392062949025,0.973315087239138,0.88060212110845,0.973999315771468,0.98392062949025,0.973657201505303,0.98392062949025,0.961341087923366,0.96647280191584,0.961341087923366,0.98392062949025,NA,NA,NA,NA,NA
"2422",2013-01-01,2020-12-31,0,1,1,1,1,1,1,1,1,1,1,1,0.99863154293534,0.998289428669175,0.99863154293534,1,0.998973657201505,0.998973657201505,0.998973657201505,0.998973657201505,0.998973657201505
"2444",2013-01-01,2020-12-31,0,1,1,1,1,1,1,1,1,1,1,1,0.99931577146767,0.999657885733835,0.99931577146767,1,0.99931577146767,1,1,1,1
"2462",2013-01-01,2020-12-31,0,1,1,1,1,1,1,1,1,1,1,1,0.996578857338351,1,0.996578857338351,1,1,1,1,1,1
"2465",2013-01-01,2020-12-31,0,1,1,1,1,1,1,1,1,1,1,1,0.99931577146767,0.99931577146767,0.99931577146767,1,1,0.99931577146767,0.99931577146767,0.99931577146767,0.99931577146767
"2491C",2013-01-01,2020-05-26,339,0.884023263770099,0.884023263770099,0.884023263770099,0.884023263770099,0.884023263770099,0.88128634964078,0.877865206979131,0.88128634964078,0.884023263770099,0.88128634964078,0.884023263770099,0.719124187478618,0.733835100923709,0.719124187478618,0.884023263770099,0.687307560725282,0.88197057817311,0.88197057817311,0.88197057817311,0.88197057817311
"2503X",2013-01-01,2017-12-10,1131,0.613068764967499,0.613068764967499,0.613068764967499,0.613068764967499,0.613068764967499,0.609305508039685,0.601436879917893,0.609305508039685,0.613068764967499,0.61033185083818,0.613068764967499,0.588436537803626,0.59219979473144,0.588436537803626,0.613068764967499,NA,0.560383167978105,0.560383167978105,0.560383167978105,0.560383167978105
"2539",2013-01-01,2020-12-31,0,1,1,1,1,1,0.997947314403011,1,0.997947314403011,1,0.99931577146767,1,0.997605200136846,0.999657885733835,0.997605200136846,1,0.96715703044817,0.996236743072186,0.996236743072186,0.996236743072186,0.994526171741362
"2614",2013-01-01,2020-12-31,0,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,0.99931577146767,1,0.997605200136846,0.99931577146767,0.997605200136846,1,0.985973315087239,0.998289428669175,0.998289428669175,0.998289428669175,0.998289428669175
"2630X",2013-01-01,2020-12-31,514,0.824153267191242,0.824153267191242,0.824153267191242,0.824153267191242,0.824153267191242,0.820390010263428,0.739993157714677,0.821074238795758,0.824153267191242,0.820732124529593,0.824153267191242,0.698255217242559,0.715703044816969,0.698255217242559,0.824153267191242,0.631200821074239,0.811837153609306,0.811837153609306,0.811837153609306,0.811837153609306
"2661",2013-01-01,2020-12-31,0,1,1,1,1,1,1,1,1,1,1,1,0.583304823811153,0.582278481012658,0.583304823811153,1,0.583304823811153,0.583304823811153,0.583304823811153,0.582962709544988,0.582962709544988
"2661B",2014-04-01,2017-07-31,1704,0.417037290455012,0.417037290455012,0.417037290455012,0.417037290455012,0.417037290455012,0.417037290455012,0.417037290455012,0.417037290455012,0.417037290455012,0.417037290455012,0.417037290455012,0.416010947656517,0.416695176188847,0.416010947656517,0.417037290455012,0.414642490591858,0.417037290455012,0.417037290455012,0.417037290455012,0.417037290455012
"2737E",2013-01-01,2020-12-31,269,0.907971262401642,0.907971262401642,0.907971262401642,0.907971262401642,0.907971262401642,0.894970920287376,0.853917208347588,0.894970920287376,0.907971262401642,0.895655148819706,0.907971262401642,0.889154977762573,0.895313034553541,0.889154977762573,0.907971262401642,NA,0.901471091344509,0.901471091344509,0.901471091344509,0.901471091344509
"2755X",2013-01-01,2020-12-31,0,1,1,1,1,1,1,1,1,1,1,1,0.998973657201505,0.998289428669175,0.998973657201505,1,0.994184057475197,1,1,1,1
"2811A",2013-01-01,2020-02-16,495,0.830653438248375,0.830653438248375,0.830653438248375,0.830653438248375,0.830653438248375,0.670201847417037,0.594936708860759,0.670543961683202,0.830653438248375,0.670201847417037,0.830653438248375,0.805336982552172,0.810468696544646,0.805336982552172,0.830653438248375,NA,0.0691070817653096,0.0691070817653096,0.0691070817653096,0.0691070817653096
"2867",2013-01-01,2020-12-31,0,1,1,1,1,1,0.998289428669175,1,0.998289428669175,1,0.99863154293534,1,0.990420800547383,0.996920971604516,0.990420800547383,1,0.997263085870681,0.995552514539856,0.995552514539856,0.995552514539856,0.995552514539856
"2870",2013-01-01,2020-12-31,8,0.997263085870681,0.997263085870681,0.997263085870681,0.997263085870681,0.997263085870681,0.968867601778994,0.967499144714335,0.968867601778994,0.997263085870681,0.969209716045159,0.997263085870681,0.993499828942867,0.996236743072186,0.993499828942867,0.997263085870681,NA,0.9483407458091,0.9483407458091,0.9483407458091,0.9483407458091
"2916A",2013-01-01,2020-12-31,6,0.997947314403011,0.997947314403011,0.997947314403011,0.997947314403011,0.997947314403011,0.995552514539856,0.997947314403011,0.995894628806021,0.997947314403011,0.996236743072186,0.997947314403011,0.919603147451249,0.924392747177557,0.919603147451249,0.997947314403011,0.979815258296271,0.990420800547383,0.990420800547383,0.990420800547383,0.990420800547383
"2946X",2013-01-01,2020-12-31,1,0.999657885733835,0.999657885733835,0.999657885733835,0.999657885733835,0.999657885733835,0.999657885733835,0.957577830995552,0.999657885733835,0.999657885733835,0.999657885733835,0.999657885733835,0.997947314403011,0.997947314403011,0.997947314403011,0.999657885733835,0.992473486144372,0.997947314403011,0.997947314403011,0.997947314403011,0.997947314403011
"3100B",2013-01-01,2020-12-31,62,0.978788915497776,0.978788915497776,0.978788915497776,0.978788915497776,0.978788915497776,0.96442011631885,0.960314745124872,0.96442011631885,0.978788915497776,0.96442011631885,0.978788915497776,0.7612042422169,0.767362299007869,0.7612042422169,0.978788915497776,NA,NA,NA,NA,NA
"3129",2013-01-01,2020-12-31,0,1,1,1,1,1,0.999657885733835,0.999657885733835,0.999657885733835,1,0.999657885733835,1,0.998973657201505,1,0.998973657201505,1,0.993841943209032,1,1,1,1
"3168D",2013-01-01,2020-12-31,0,1,1,1,1,1,0.999657885733835,1,0.999657885733835,1,0.999657885733835,1,0.999657885733835,0.999657885733835,0.999657885733835,1,0.993499828942867,0.99931577146767,0.99931577146767,0.99931577146767,0.99931577146767
"3175",2013-01-01,2020-12-31,0,1,1,1,1,1,1,1,1,1,1,1,0.99931577146767,0.999657885733835,0.99931577146767,1,0.99931577146767,0.999657885733835,0.999657885733835,0.999657885733835,0.999657885733835
"3191E",2013-01-01,2020-12-31,0,1,1,1,1,1,0.999657885733835,1,0.999657885733835,1,0.999657885733835,1,0.987683886418064,0.99931577146767,0.987683886418064,1,0.997605200136846,0.99931577146767,0.998973657201505,0.99931577146767,0.99931577146767
