"period","site","variable","mean(2013-2019).vs.mean(2020)","std(2013-2019).vs.std(2020)"
"normalidad","es0115a","no",-51.9924614061402,13.1851110889826
"new.lockdown","es0115a","no",-61.7312328215696,16.5212244026713
"pre.lckdwn","es0115a","no2",-3.29567332143142,24.8798537357005
"lckdwn","es0115a","no2",-78.7179079068147,5.54983038619629
"fases","es0115a","no2",-50.7577292154438,19.4440694568571
"normalidad","es0115a","no2",-38.6227341692134,17.125788616882
"new.lockdown","es0115a","no2",-32.6360346280511,16.9542188150217
"pre.lckdwn","es0118a","no",-24.9119596065085,32.727754370057
"lckdwn","es0118a","no",-89.4094508214827,3.65461196622467
"fases","es0118a","no",-83.1153196337919,4.79389264969597
"normalidad","es0118a","no",-58.5554150669871,17.3495894023203
"new.lockdown","es0118a","no",-61.506074842562,15.1675242237046
"pre.lckdwn","es0118a","no2",-11.4957902951046,15.6253257038794
"lckdwn","es0118a","no2",-61.2268470452156,8.27310662278411
"fases","es0118a","no2",-55.6869140832993,10.0397941384234
"normalidad","es0118a","no2",-36.1377988198618,13.530232416466
"new.lockdown","es0118a","no2",-32.7585073891951,12.0411136798234
"pre.lckdwn","es0118a","o3",-17.0299399369126,27.8924586625299
"lckdwn","es0118a","o3",19.3281270221681,8.26051638667245
"fases","es0118a","o3",13.0131914187646,5.81190943569628
"normalidad","es0118a","o3",7.79538166219387,0.757801647492412
"new.lockdown","es0118a","o3",31.647949181133,34.3447424696723
"pre.lckdwn","es0118a","pm10",30.4034352130994,36.3627418344797
"lckdwn","es0118a","pm10",-31.6092365238837,13.5817885627984
"fases","es0118a","pm10",1.19943565492558,25.9024998277278
"normalidad","es0118a","pm10",-27.8582013461377,18.203772150824
"new.lockdown","es0118a","pm10",-21.6455325677119,29.0304319677961
"pre.lckdwn","es0118a","pm2.5",9.75672945460256,38.6271204813496
"lckdwn","es0118a","pm2.5",-21.4964859204976,13.8413315252173
"fases","es0118a","pm2.5",40.7491700750391,58.0236712624042
"normalidad","es0118a","pm2.5",-27.2767787337831,20.3284265862319
"new.lockdown","es0118a","pm2.5",-19.4097511956386,27.8258982995864
"pre.lckdwn","es0120a","no",-3.28944411381226,49.222356800676
"lckdwn","es0120a","no",-82.1691919374561,4.9859697052527
"fases","es0120a","no",-70.0791372628945,6.66589540749593
"normalidad","es0120a","no",-55.9492560285876,16.9857510268703
"new.lockdown","es0120a","no",-61.3184269097188,22.942018761326
"pre.lckdwn","es0120a","no2",7.11281840516496,29.6259236054428
"lckdwn","es0120a","no2",-56.2147825750424,9.24111721537042
"fases","es0120a","no2",-47.3346587613791,16.5178810239886
"normalidad","es0120a","no2",-25.0985698696421,18.0338545874014
"new.lockdown","es0120a","no2",-30.5202223918464,16.2996205503876
"pre.lckdwn","es0817a","no",-5.23971298738922,59.134726665687
"lckdwn","es0817a","no",-73.0537573305803,8.10627733786429
"fases","es0817a","no",-52.7530941233551,16.239821049001
"normalidad","es0817a","no",-34.088258666952,41.9796816230802
"new.lockdown","es0817a","no",-45.3801212781249,24.6800239812169
"pre.lckdwn","es0817a","no2",-9.18455220046345,16.4856663866108
"lckdwn","es0817a","no2",-64.0705951035221,6.94671760110225
"fases","es0817a","no2",-48.7039323846741,10.6280441642979
"normalidad","es0817a","no2",-11.724071911369,15.8339972152978
"new.lockdown","es0817a","no2",-23.8016250005154,14.5570724554698
"pre.lckdwn","es0890a","no",-16.6000212618386,15.1329603249279
"lckdwn","es0890a","no",-74.3764622703924,5.07205401808365
"fases","es0890a","no",-70.8291520193657,11.1097785355237
"normalidad","es0890a","no",-47.739474075875,16.2755403201387
"new.lockdown","es0890a","no",-59.200994537375,16.4495566311996
"pre.lckdwn","es0890a","no2",-25.0225546842806,10.9365869328463
"lckdwn","es0890a","no2",-58.9986953788328,6.98981339310658
"fases","es0890a","no2",-47.2782118706997,14.5647152493583
"normalidad","es0890a","no2",-22.2908304285367,12.2259973765027
"new.lockdown","es0890a","no2",-44.4886927293786,21.1720767835137
"pre.lckdwn","es0890a","o3",-21.7943921680585,22.2321197525963
"lckdwn","es0890a","o3",20.6114696501736,4.89276802008364
"fases","es0890a","o3",5.21945961294545,12.0445712617108
"normalidad","es0890a","o3",17.241992710125,3.48034885615704
