"site","start_dt","end_dt","ws","wd","air_temp","atmos_pres","visibility","dew_point","RH","ceil_hgt","cl_1","cl_2","cl_3","cl","cl_1_height","cl_2_height","cl_3_height","precip_6","precip","precip_12","pwc"
"083970-99999",2013-01-01,2020-12-31,0.988193018480493,0.828428017339722,0.986538900296601,0.811558863791923,0.542336869723933,0.986467602099019,0.986310746064339,0.271874287018024,0.354537417294091,0.123673853524983,0.0309576773899156,0.356419689710244,0.32108430298882,0.120094684006388,0.0309576773899156,0.412388774811773,0.342231348391513,0.241315879534565,0
"083910-99999",2013-01-01,2020-12-31,0.985426648414328,0.930940565822496,0.977484029203742,0.770191649555099,0.589892767510837,0.977441250285193,0.977441250285193,0.311886835500799,0.358544375998175,0.0957249600730094,0.0153005932010039,0.360997033994981,0.338081793292266,0.0907911248003651,0.0152578142824549,0.0396988364134155,0.16034964636094,0.040041067761807,0
"083905-99999",2013-01-02,2020-12-30,0.278710940311182,0.169178289218015,0.278595794291636,NA,0.106956258905825,0.277689019387711,0.277674626135268,0.0495271816572391,0.0757229011039625,0.0220216762381795,0.00269153820688861,0.0757229011039625,0.0757085078515192,0.0220216762381795,0.00269153820688861,0,0,0,0
"083830-99999",2013-01-10,2020-12-31,0.682735078100755,0.680651406109149,0.682720300285212,0.682232632372283,0.67815395528233,0.682646411207495,0.682646411207495,0.0344914214780771,0.0391612111897619,0.00500967946918087,0.220115562517549,0.040609437113006,0.0328954173994,0.00053200135955903,0.583782825222776,0.0261715113271956,0.527405458925062,0.0258611772007862,0
"083600-99999",2013-01-01,2020-12-31,0.997903832991102,0.951688341318731,0.997804015514488,0.983273442847365,0.521874287018024,0.997789755874971,0.997789755874971,0.224788957335159,0.537731006160164,0.1377623773671,0.0144022359114762,0.539841432808579,0.494410221309605,0.131445357061374,0.0144022359114762,0.0396988364134155,0.298867784622405,0.040041067761807,0
"083590-99999",2013-01-01,2020-12-31,0.652886315669386,0.650262392333581,0.654740174547944,0.654526267754264,0.651517312189835,0.654697393189208,0.654697393189208,0.0259682847527237,0.0409132394044835,0.0184815469739319,NA,0.0415121784267868,0.0337972734014032,0.00500541897210655,NA,0.0247561462552051,0.193000969710798,0.0327847812446523,0
"083350-99999",2017-07-12,2020-12-31,0.781026213783588,0.781026213783588,0.78480388936338,0.779383746140201,NA,0.779383746140201,0.779383746140201,NA,0,0,0,0,0,0,0,NA,0.0420143223178503,0,0
"083060-99999",2013-01-01,2020-12-31,0.998331622176591,0.958247775496235,0.9979893908282,0.914684576773899,0.450462012320329,0.997889573351586,0.997889573351586,0.360455167693361,0.791524070271504,0.239333789641798,0.034208875199635,0.792308350444901,0.802304357745836,0.23240360483687,0.034166096281086,0.111909650924025,0.0888945927446954,0.112251882272416,0
"083030-99999",2017-07-12,2020-12-31,0.791932198935681,0.791932198935681,0.791603705407004,NA,NA,0.448590762761974,0.448590762761974,NA,0,0,0,0,0,0,0,NA,0.0608370015110702,NA,0
"083010-99999",2017-07-12,2020-12-31,0.796990999277314,0.796990999277314,0.795874121279811,0.130477629590697,NA,0.795874121279811,0.795874121279811,NA,0,0,0,0,0,0,0,0,0.0369883713290848,0,0
"082860-99999",2013-01-09,2020-12-31,0.683590260769342,0.682351246218124,0.683791960812563,0.683604667915286,0.679599481342746,0.680161360034577,0.680161360034577,0.0209623973490851,0.0404264515199539,0.00994093070162801,NA,0.0436824665033857,0.0347500360178649,0.0701916150410604,NA,0.0268693271862844,0.206108629880421,0.0265523699755079,0
"082850-99999",2017-07-12,2020-12-31,0.760396820182642,0.760396820182642,0.759444188949478,NA,NA,0.589120294330202,0.589120294330202,NA,0,0,0,0,0,0,0,0,0.0321595164575258,0,0
"082840-99999",2013-01-01,2020-12-31,0.998417180013689,0.955196212639744,0.996877138945927,0.987679671457906,0.504762719598449,0.996877138945927,0.996820100387862,0.278433721195528,0.641726557152635,0.144079397672827,0.01895106091718,0.643922541638147,0.597835386721424,0.136764202600958,0.0189368012776637,0.040041067761807,0.301035249828884,0.0403832991101985,0
"082270-99999",2013-01-01,2020-12-31,0.991116244581337,0.829069701117956,0.991073465662788,NA,0.327615217887292,0.990916609628109,0.990902349988592,0.214407939767283,0.369153547798312,0.129748459958932,0.0154146703171344,0.369153547798312,0.369709673739448,0.129748459958932,0.0154146703171344,0,0,0,0
"082240-99999",2013-01-01,2020-12-31,0.634157483012619,0.537757665734026,0.634371609661394,0.583109689944613,0.335151030662936,0.634157483012619,0.634157483012619,0.199251984240279,0.339590589847542,0.117855307485868,0.0212841888882544,0.341517729686519,0.328241877462456,0.11325872209216,0.0212699137783361,0.256695026551704,0.216924570319191,0.247016502027066,0
"082230-99999",2013-01-01,2020-12-31,0.673199908639297,0.529549477530977,0.673099982869868,0.370610403700109,0.320847370524753,0.673042882430195,0.67300005710044,0.184848398332667,0.324444698224176,0.114086678467424,0.016073773768058,0.325215554159767,0.304202592359961,0.112016787529264,0.016073773768058,0.244018728944213,0.16056643636156,0.246416947410495,0
"082220-99999",2017-07-12,2020-12-31,0.702647657841141,0.676368175546942,0.775573221207542,0.482524144274358,NA,0.482524144274358,0.482524144274358,NA,0,0,0,0,0,0,0,Inf,0.0278891005847185,NA,0
"082210-99999",2013-01-01,2020-12-31,0.998431439653206,0.97540212183436,0.998431439653206,0.988906000456308,0.992371092858773,0.998431439653206,0.998431439653206,0.401679785535022,0.621035820214465,0.202387063655031,0.0331251425963952,0.627851927903263,0.451645562400182,0.188141683778234,0.0331251425963952,0.0405544147843942,0.30027948893452,0.0410677618069815,0
"082200-99999",2017-07-12,2020-12-31,0.593292162144406,0.593292162144406,0.701760725313711,NA,NA,0.618717561264043,0.618717561264043,NA,0,0,0,0,0,0,0,NA,0.0485841928914,0,0
"082020-99999",2013-01-01,2020-12-31,0.996577686516085,0.908153661875428,0.995779146703171,NA,0.490132329454711,0.995878964179785,0.995665069587041,0.350173967602099,0.463381245722108,0.144735341090577,0.0246834360027379,0.465620009126169,0.459987451517226,0.138617955738079,0.0246834360027379,0.0405544147843942,0.164185489390828,0.039356605065024,0
