Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_10_M,SPP_03065007_10_M.1,SAM_03065007_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,26.0000000000,µg/m3,2013-06-25 00:00:00 +01:00,2013-06-26 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_10_M,SPP_03065007_10_M.1,SAM_03065007_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,17.0000000000,µg/m3,2013-08-31 00:00:00 +01:00,2013-09-01 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_10_M,SPP_03065007_10_M.1,SAM_03065007_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,16.0000000000,µg/m3,2013-08-28 00:00:00 +01:00,2013-08-29 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_10_M,SPP_03065007_10_M.1,SAM_03065007_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,23.0000000000,µg/m3,2013-11-12 00:00:00 +01:00,2013-11-13 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_10_M,SPP_03065007_10_M.1,SAM_03065007_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,19.0000000000,µg/m3,2013-08-27 00:00:00 +01:00,2013-08-28 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_10_M,SPP_03065007_10_M.1,SAM_03065007_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,20.0000000000,µg/m3,2013-09-03 00:00:00 +01:00,2013-09-04 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_10_M,SPP_03065007_10_M.1,SAM_03065007_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,25.0000000000,µg/m3,2013-09-06 00:00:00 +01:00,2013-09-07 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_10_M,SPP_03065007_10_M.1,SAM_03065007_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,21.0000000000,µg/m3,2013-09-05 00:00:00 +01:00,2013-09-06 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_10_M,SPP_03065007_10_M.1,SAM_03065007_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,,µg/m3,2013-09-12 00:00:00 +01:00,2013-09-13 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_10_M,SPP_03065007_10_M.1,SAM_03065007_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,21.0000000000,µg/m3,2013-09-09 00:00:00 +01:00,2013-09-10 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_10_M,SPP_03065007_10_M.1,SAM_03065007_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,,µg/m3,2013-09-19 00:00:00 +01:00,2013-09-20 00:00:00 +01:00,-1,1
